"Month","Year","Dest","Freq","ArrDelay","NDays"
1,1988,"MGM",279,3002,31
1,2004,"JNU",307,2016,31
1,1988,"MFR",201,2689,31
1,1992,"PNS",748,1402,31
1,1992,"PSC",90,1481,31
1,1992,"PSG",60,201,31
1,1988,"MSO",222,4028,31
1,1992,"RST",243,2099,31
1,1988,"MSN",346,4173,31
1,1992,"ROP",87,-22,31
1,1992,"ROR",38,176,31
1,2004,"KOA",505,367,31
1,1992,"PIT",11037,78344,31
1,1992,"PIA",86,719,31
1,1992,"PHL",6922,46966,31
1,1992,"PUB",53,-374,31
1,2004,"KTN",186,2151,31
1,1988,"MDT",515,3913,31
1,1988,"MOT",132,1307,31
1,1988,"MRY",216,1108,31
1,1988,"MFE",133,3048,31
1,2004,"LIT",1452,7018,31
1,1992,"PSP",636,1156,31
1,1988,"MHT",183,1837,31
1,1992,"ROC",1807,8772,31
1,1992,"PVD",1290,6032,31
1,1988,"MOB",689,7935,31
1,1988,"CCR",104,283,31
1,1988,"MSP",7597,115482,31
1,1988,"MEM",6248,74019,31
1,1988,"CHO",144,1694,31
1,2004,"LNK",339,9656,31
1,1988,"CDV",54,385,31
1,1988,"CHA",426,3367,31
1,1988,"MSY",3356,37477,31
1,1988,"MKE",1412,20778,31
1,2004,"LNY",31,-47,31
1,1988,"LFT",94,-49,31
1,1988,"MDW",1387,5405,31
1,1988,"CAK",424,4790,31
1,1988,"MCI",4084,42652,31
1,1988,"MCO",6156,109941,31
1,1992,"PHX",11781,7034,31
1,2004,"JAN",960,2634,31
1,2004,"JAX",2517,14592,31
1,2004,"LAN",425,5617,31
1,2004,"LAS",12769,66655,31
1,1990,"ILM",209,1008,31
1,1988,"MYR",327,4273,31
1,1988,"MIA",6419,102493,31
1,1988,"OGG",327,6277,31
1,1988,"CAE",1027,13224,31
1,1988,"LYH",146,2629,31
1,1992,"RIC",1252,4595,31
1,1992,"RNO",1612,2123,31
1,1992,"ROA",285,534,31
1,2004,"LGB",962,3579,31
1,2004,"LIH",611,1493,31
