Coins,Daily_ROI_Change,Daily_MasterNode_Change
FIX,-1226.943,30.1
CARAT,-684.4261,2.4643
GIN,-360.079,10.9
OLMP,-323.99,13.4286
LUCKY,-267.5946,8.8571
CROP,-246.1689,40.6429
SNCZ,-205.9786,7.0714
ZEX,-202.0154,5.4643
NIHL,-171.4079,23.6071
VTAR,-153.5236,13.25
ETHF,-146.2732,7.5357
MRJA,-116.8486,4.0714
SPD,-107.6954,5.8571
END,-103.7211,6.3929
BOXY,-98.434,5.9143
LILI,-88.5,5
BLTG,-82.3732,16.6071
OMEGA,-80.7404,77.3929
IFX,-71.4086,8.1071
EXUS,-70.5254,4.9286
NYX,-68.3664,11.1429
ABS,-46.3264,21.6786
ELP,-38.3079,3.4643
MIE,-37.7793,1.5
ARGO,-35.2889,6.4643
CTF,-34.0714,0.6786
RACE,-32.2125,5.9643
ZOC,-31.8568,5.2143
NORT,-29.3043,15.3929
BEET,-26.235,15.8571
CURV,-26.1123,2.3143
XAR,-22.7229,3.25
BASHC,-22.4386,1.2857
HTK,-20.3507,9.8571
PUSHI,-19.946,14.4
ASTR,-19.5411,3.9643
CRS,-19.5007,2.0357
JEW,-18.8629,25.4286
SAROS,-17.0264,8.3214
BITG,-15.7721,8.6071
GOA,-15.6961,5.2857
DEV,-14.1346,1.8214
CBS,-13.5821,5.1071
SPK,-12.9996,-33.2857
ESCO,-12.5882,4.7143
CIV,-12.3361,1.3571
ARTX,-11.8375,7.9286
QBIC,-11.6332,12.5357
DIN,-11.1161,2.5714
ADV,-9.8314,2.1071
RUPX,-8.3861,12.6786
PHC,-8.325,-1.3571
BHD,-7.7943,-0.0357
POLIS,-6.64,10.5714
ICH,-6.085,1.8571
CHEESE,-6.03,1.9286
ORE,-5.7989,7.0714
PBS,-5.7857,-0.7857
STAK,-4.9946,1.7857
KREDS,-4.83,6.5
NMS,-4.6343,2.75
SMART,-4.1931,262.1714
DGM,-4.0575,4.1071
CRC,-3.6946,10.7143
IC,-3.6843,0.8571
XCXT,-3.6554,1.0357
ENT,-3.5304,2.5
MUN,-3.25,3.7857
YIC,-2.9936,3.0357
BWK,-2.8093,8.25
VGS,-2.7646,0.3214
VIVO,-2.3329,4.5714
BTDX,-2.0754,6.7143
GBX,-1.6043,5.0714
SUCR,-1.2921,3.0714
CRW,-1.2904,48.25
MTNC,-1.2443,0.9286
MAG,-1.1943,8.8571
ALQO,-1.1018,24.8929
ERZ,-0.9232,0.8571
SCORE,-0.9089,2.1786
ITZ,-0.9046,0.9286
MXT,-0.8625,0.7857
AMS,-0.7789,1.5
CRAVE,-0.7454,10.6786
XLR,-0.6732,4.8929
NEOS,-0.5254,1.8929
XMCC,-0.4457,11.75
LUX,-0.4143,-0.0357
PNX,-0.3757,1.1071
VSX,-0.3564,3.8929
DSR,-0.3561,7.5
ARC,-0.3336,-5.6071
KZC,-0.2814,1.4286
INN,-0.2257,4.8214
CRW-SN,-0.2089,16.9286
BBP,-0.1982,0.5714
DMD,-0.1871,0.8929
XFT,-0.1854,0.3929
BSD,-0.1725,1.3929
KORE,-0.1661,-2.4286
FOR,-0.1364,0.25
MGN,-0.125,-0.1071
PHR,-0.0971,1
XZC,-0.0857,7.8929
MUE,-0.0846,0.2143
ION,-0.0714,0.7857
BLOCK,-0.0625,1.4643
SIB,-0.0532,-69.5714
RNS,-0.0482,0.3214
HC,-0.0207,-0.0357
EXCL,-0.0143,0.2857
COLX,0.0104,0.1071
CRM,0.0125,-0.3214
PURE,0.0257,-2.9286
PIVX,0.0307,-7.3929
DP,0.0361,0.0714
BRO,0.0371,0.1786
TRC,0.0518,-2
TX,0.0525,2.0714
PURA,0.0625,-0.2143
DASH,0.0832,4.3214
MOUSE,0.0914,-0.75
NNC,0.1075,0
SEND,0.33,-5.4643
ACCO,0.4136,-0.0714
TOK,0.4554,0.3929
CMOS,0.71,-0.6786
MDC,0.8161,-0.0714
CHC,0.925,-16.7857
MNB,0.9907,0.0714
MEDIC,1.0318,-0.1071
MEME,1.1325,-11.8571
SAGA,1.205,4.2857
STONE,2.7029,3.5714
XCPO,3.1032,-0.5
LIZ,3.6293,0.6786
GNR,3.7207,1.75
1UP,4.4464,0.4286
TUN,13.16,-2.1429
FXC,15.8132,2.1429
PHILS,31.805,-5.2143
RAP,38.04,7.8571
FRM,54.365,0.5
NTRN,92.7004,-49.6071
SPL,135.555,35
ZACA,275.452,27.7
