College,State,Address,Longitude,Latitude
University of Memphis,Tennessee,"3720 Alumni Ave, Memphis, TN 38152",-89.938117,35.118722
Kansas State University,Kansas,"Manhattan, KS 66506, United States",-96.581,39.199804
University of Southern California,California,3551 Trousdale Pkwy 90089 Los Angeles,-118.2855,34.020914
"University of California, Los Angeles",California,405 Hilgard Ave 90095 Los Angeles,-118.443198,34.069171
Indiana University,Indiana,107 S Indiana Ave 47405 Bloomington,-86.526541,39.166137
University of Texas at Austin,Texas ,1 University Station 78712 Austin,-97.730845,30.279216
Stanford University,California,450 Serra Mall 94305 Stanfords,-122.168845,37.428264
University of Arizona,Arizona,"Tucson, AZ 85721, United States",-110.948801,32.233284
Rider University,New Jersey,"2083 Lawrenceville Rd, Lawrence Township, NJ 08648, United States",-74.736811,40.279807
University of Kansas,Kansas,"1450 Jayhawk Blvd, Lawrence, KS 66045, United States",-95.247661,38.958439
Louisiana State University,Louisiana,Louisiana State University 70803 Baton Rouge,-91.184841,30.453995
University of Florida,Florida,"Gainesville, Florida 32611",-82.371937,29.613024
Georgetown University,Washington,"3700 O St NW, Washington, DC 20057, United States",-77.071575,38.907671
"University of Nevada, Reno",Nevada,"1664 N Virginia St, Reno, NV 89557, United States",-119.819372,39.545898
North Carolina State University,North Carolina," Raleigh, NC 27695, United States",-78.681945,35.785055
University of California,California,Sproul Plaza 94720 Berkeley,-122.260337,37.869381
Western Kentucky University,Kentucky,1906 College Heights Blvd 42101 Bowling Green,-86.456198,36.984404
Ohio State University,Ohio,"Columbus, OH 43210, United States",-83.017339,39.999063
Indiana University-Purdue University Indianapolis,Indianapolis,420 University Blvd 46202 Indianapolis,-86.176308,39.773748
University of Oklahoma,Oklahoma,"660 Parrington Oval, Norman, OK 73019, United States",-97.445677,35.208547
University of Connecticut,Connecticut,"Storrs, CT 06269, United States",-72.251183,41.81932
Arizona State University,Arizona,"Tempe, AZ 85281, United States",-111.940325,33.436665
Davidson College,North Carolina,"405 N Main St, Davidson, NC 28035, United States",-80.847517,35.502236
University of Louisville,Kentucky,"2301 S 3rd St, Louisville, KY 40292, United States",-85.761999,38.215855
Duke University,North Carolina,"Durham, NC 27708, United States",-78.947209,35.999226
University of North Carolina,North Carolina,"Chapel Hill, NC, United States",-79.055845,35.9132
Gonzaga University,Washington,"502 E Boone Ave, Spokane, WA 99202, United States",-117.401556,47.667191
Wake Forest University,North Carolina,"1834 Wake Forest Rd, Winston-Salem, NC 27109, United States",-80.279227,36.135403
Virginia Commonwealth University,Virginia,"907 Floyd Ave, Richmond, VA 23284, United States",-77.45346,37.546508
University of Missouri,Missouri,104 Jesse Hall 65211 Columbia,-78.123129,34.61337
Florida State University,Florida," 600 W College Ave, Tallahassee, FL 32306, United States",-84.290666,30.440962
University of Kentucky,Kentucky,"Lexington, KY 40506, United States",-84.499449,38.019614
Georgia Institute of Technology,Atlanta,"North Ave NW, Atlanta, GA 30332, United States",-84.392056,33.771288
Syracuse University,New York,900 S Crouse Ave 13244 Syracuse,-76.136975,43.040176
Baylor University,Texas,"1301 S University Parks Dr, Waco, TX 76798, United States",-97.116094,31.55096
Butler University,Indianapolis,"4600 Sunset Ave, Indianapolis, IN 46208, United States",-86.170593,39.840086
"California State University, Fresno",California,5241 N Maple Ave 93740 Fresno,-119.746223,36.810828
Oklahoma State University,Oklahoma ,219 Student Union 74078 Stillwater,-97.068477,36.121121
Clemson University,South Carolina,201 Sikes Hall 29634 Clemson,-82.783707,34.681305
University of South Florida,Florida,"4202 E Fowler Ave, Tampa, FL 33620, United States",-82.412069,28.067263
University of Washington,Washington,"Seattle, Washington, 98105",-122.268374,47.661424
Xavier University,Ohio," 3800 Victory Pkwy, Cincinnati, OH 45207, United States",-84.47952,39.148914
University of Maryland,Maryland,1000 Hilltop Cir 20742 College Park,-97.390974,32.78767
Marquette University,Wisconsin,"1250 W Wisconsin Ave, Milwaukee, WI 53233, United States",-87.927985,43.038981
Brigham Young University,Utah,150 E Bulldog Blvd 84602 Provo,-111.661032,40.250617
Washington State University,Washington,"99164-1040 Pullman WA, United States",-117.154274,46.728721
University of Colorado,Colorado,"1800 Grant St., Suite 800, Denver, CO 80203",-104.983224,39.745244
San Diego State University,California," 5500 Campanile Dr, San Diego, CA 92182, United States",-117.072603,32.772371
