Team,Opp,Date,Number,Round,Game,Location,W/L,Importance,Points,Oppo,Diff,Team FG,Team FGA,Team FG%,Team 3P,Team 3PA,Team 3P%,Team FT,Team FTA,Team FT%,Team ORB,Team TRB,Team AST,Team STL,Team BLK,Team TOV,Team PF,Opponent FG,Opponent FGA,Opponent FG%,Opponent 3P,Opponent 3PA,Opponent 3P%,Opponent FT,Opponent FTA,Opponent FT%,Opponent ORB,Opponent TRB,Opponent AST,Opponent STL,Opponent BLK,Opponent TOV,Opponent PF,Advanced ORtg,Advanced DRtg,Advanced Pace,Advanced FTr,Advanced 3PAr,Advanced TS%,Advanced TRB%,Advanced AST%,Advanced STL%,Advanced BLK%,Offensive Four Factors eFG%,Offensive Four Factors TOV%,Offensive Four Factors ORB%,Offensive Four Factors FT/FGA,Defensive Four Factors eFG%,Defensive Four Factors TOV%,Defensive Four Factors DRB%,Defensive Four Factors FT/FGA
Celtics,ATL,4/20/2008,1,1,1,Home,W,0,104,81,23,38,81,0.469,9,16,0.563,19,24,0.792,13,40,22,6,7,10,21,29,76,0.382,3,14,0.214,20,28,0.714,16,41,16,4,8,15,18,123.6,96.2,84.2,0.296,0.198,0.568,49.4,57.9,7.1,11.3,0.525,9.8,34.2,0.235,0.401,14.5,62.8,0.263
Celtics,ATL,4/23/2008,2,1,2,Home,W,0,96,77,19,35,84,0.417,7,18,0.389,19,26,0.731,13,45,23,15,3,12,33,23,60,0.383,0,5,0,31,40,0.775,5,35,10,4,5,21,22,105.4,84.5,91.1,0.31,0.214,0.503,56.3,65.7,16.5,5.5,0.458,11.2,30.2,0.226,0.383,21.3,86.5,0.517
Celtics,ATL,4/26/2008,3,1,3,Away,L,0,93,102,-9,32,72,0.444,6,17,0.353,23,25,0.92,9,35,24,7,2,10,23,36,76,0.474,10,18,0.556,20,27,0.741,12,43,28,6,4,11,20,111.6,122.4,83.3,0.347,0.236,0.56,44.9,75,8.4,3.4,0.486,10.8,22.5,0.319,0.539,11.1,68.4,0.263
Celtics,ATL,4/28/2008,4,1,4,Away,L,0,92,97,-5,35,85,0.412,12,23,0.522,10,18,0.556,15,36,26,11,3,10,24,32,67,0.478,4,18,0.222,29,33,0.879,8,37,16,4,8,17,22,107.7,113.6,85.4,0.212,0.271,0.495,49.3,74.3,12.9,6.1,0.482,9.7,34.1,0.118,0.507,17.3,72.4,0.433
Celtics,ATL,4/30/2008,5,1,5,Home,W,0,110,85,25,45,84,0.536,9,20,0.45,11,15,0.733,13,39,28,5,9,10,22,28,69,0.406,4,13,0.308,25,29,0.862,8,28,16,6,3,13,19,131.9,101.9,83.4,0.179,0.238,0.607,58.2,62.2,6,16.1,0.589,9.9,39.4,0.131,0.435,13.7,76.5,0.362
Celtics,ATL,5/2/2008,6,1,6,Away,L,0,100,103,-3,38,82,0.463,4,19,0.211,20,25,0.8,14,35,25,5,6,9,33,33,69,0.478,1,7,0.143,36,47,0.766,13,38,25,4,7,12,23,118.2,121.8,84.6,0.305,0.232,0.538,47.9,65.8,5.9,9.7,0.488,8.8,35.9,0.244,0.486,11.8,61.8,0.522
Celtics,ATL,5/4/2008,7,1,7,Home,W,1,99,65,34,40,84,0.476,3,18,0.167,16,19,0.842,14,46,20,11,10,8,19,24,82,0.293,6,12,0.5,11,16,0.688,19,46,11,2,5,16,17,120.1,78.9,82.4,0.226,0.214,0.536,50,50,13.3,14.3,0.494,8,34.1,0.19,0.329,15.2,62.7,0.134
Celtics,CLE,5/6/2008,1,2,8,Home,W,0,76,72,4,29,68,0.426,4,14,0.286,14,18,0.778,8,43,18,5,2,21,20,23,75,0.307,4,18,0.222,22,26,0.846,13,41,19,12,4,17,21,87.2,82.6,87.1,0.265,0.206,0.501,51.2,62.1,5.7,3.5,0.456,21.7,22.2,0.206,0.333,16.4,72.9,0.293
Celtics,CLE,5/8/2008,2,2,9,Home,W,0,89,73,16,29,72,0.403,3,14,0.214,28,38,0.737,12,45,20,11,2,12,26,26,73,0.356,2,13,0.154,19,27,0.704,10,39,18,4,7,15,27,103,84.5,86.4,0.528,0.194,0.502,53.6,69,12.7,3.3,0.424,11.9,29.3,0.389,0.37,15,76.7,0.26
Celtics,CLE,5/10/2008,3,2,10,Away,L,0,84,108,-24,30,74,0.405,5,16,0.313,19,24,0.792,12,33,18,5,3,11,27,37,69,0.536,10,19,0.526,24,33,0.727,11,37,29,6,7,10,21,104.9,134.9,80.1,0.324,0.216,0.497,47.1,60,6.2,6,0.439,11.5,31.6,0.257,0.609,10.7,65.6,0.348
Celtics,CLE,5/12/2008,4,2,11,Away,L,0,77,88,-11,27,70,0.386,3,14,0.214,20,26,0.769,6,38,16,3,4,8,17,35,77,0.455,6,17,0.353,12,18,0.667,8,42,24,5,2,7,17,94.1,107.5,81.9,0.371,0.2,0.473,47.5,59.3,3.7,6.7,0.407,8.9,15,0.286,0.494,7.6,80,0.156
Celtics,CLE,5/14/2008,5,2,12,Home,W,0,96,89,7,37,77,0.481,5,15,0.333,17,23,0.739,12,38,25,7,7,13,27,29,65,0.446,3,16,0.188,28,41,0.683,7,30,11,8,5,12,18,113.1,104.9,84.9,0.299,0.195,0.551,55.9,67.6,8.2,14.3,0.513,13,34.3,0.221,0.469,12.6,78.8,0.431
Celtics,CLE,5/16/2008,6,2,13,Away,L,0,69,74,-5,27,68,0.397,4,16,0.25,11,13,0.846,7,37,19,8,5,17,25,24,73,0.329,5,16,0.313,21,25,0.84,16,45,10,5,7,14,16,86,92.3,80.2,0.191,0.235,0.468,45.1,70.4,10,8.8,0.426,18.7,19.4,0.162,0.363,14.3,65.2,0.288
Celtics,CLE,5/18/2008,7,2,14,Home,W,1,97,92,5,32,67,0.478,5,12,0.417,28,34,0.824,10,39,20,7,3,10,26,30,67,0.448,7,22,0.318,25,35,0.714,9,29,13,3,2,14,28,118.5,112.4,81.9,0.507,0.179,0.592,57.4,62.5,8.6,6.7,0.515,10.9,33.3,0.418,0.5,14.5,76.3,0.373
Celtics,DET,5/20/2008,1,3,15,Home,W,0,88,79,9,36,69,0.522,2,9,0.222,14,21,0.667,5,37,27,10,3,11,21,28,66,0.424,4,11,0.364,19,27,0.704,8,37,15,7,1,13,20,106.7,95.8,82.4,0.304,0.13,0.562,50,75,12.1,5.5,0.536,12.3,14.7,0.203,0.455,14.3,80,0.288
