id,year,age,tm,lg,g,pa,ab,r,h,2b,3b,hr,rbi,sb,cs,bb,so,ba,obp,slg,ops,ops+,tb,gdp,hbp,sh,sf,ibb
SosaSa,1989,20,TOT,AL,58,203,183,27,47,8,0,4,13,7,5,11,47,0.257,0.303,0.366,0.669,89,67,6,2,5,2,2
SosaSa,1989,20,TEX,AL,25,88,84,8,20,3,0,1,3,0,2,0,20,0.238,0.238,0.31,0.548,52,26,3,0,4,0,0
SosaSa,1989,20,CHW,AL,33,115,99,19,27,5,0,3,10,7,3,11,27,0.273,0.351,0.414,0.765,118,41,3,2,1,2,2
SosaSa,1990,21,CHW,AL,153,579,532,72,124,26,10,15,70,32,16,33,150,0.233,0.282,0.404,0.687,92,215,10,6,2,6,4
SosaSa,1991,22,CHW,AL,116,338,316,39,64,10,1,10,33,13,6,14,98,0.203,0.24,0.335,0.576,59,106,5,2,5,1,2
SosaSa,1992,23,CHC,NL,67,291,262,41,68,7,2,8,25,15,7,19,63,0.26,0.317,0.393,0.71,98,103,4,4,4,2,1
SosaSa,1993,24,CHC,NL,159,641,598,92,156,25,5,33,93,36,11,38,135,0.261,0.309,0.485,0.794,112,290,14,4,0,1,6
SosaSa,1994,25,CHC,NL,105,458,426,59,128,17,6,25,70,22,13,25,92,0.3,0.339,0.545,0.884,127,232,7,2,1,4,1
SosaSa,1995,26,CHC,NL,144,629,564,89,151,17,3,36,119,34,7,58,134,0.268,0.34,0.5,0.84,122,282,8,5,0,2,11
SosaSa,1996,27,CHC,NL,124,541,498,84,136,21,2,40,100,18,5,34,134,0.273,0.323,0.564,0.888,127,281,14,5,0,4,6
SosaSa,1997,28,CHC,NL,162,694,642,90,161,31,4,36,119,22,12,45,174,0.251,0.3,0.48,0.779,99,308,16,2,0,5,9
SosaSa,1998,29,CHC,NL,159,722,643,134,198,20,0,66,158,18,9,73,171,0.308,0.377,0.647,1.024,160,416,20,1,0,5,14
SosaSa,1999,30,CHC,NL,162,712,625,114,180,24,2,63,141,7,8,78,171,0.288,0.367,0.635,1.002,151,397,17,3,0,6,8
SosaSa,2000,31,CHC,NL,156,705,604,106,193,38,1,50,138,7,4,91,168,0.32,0.406,0.634,1.04,161,383,12,2,0,8,19
SosaSa,2001,32,CHC,NL,160,711,577,146,189,34,5,64,160,0,2,116,153,0.328,0.437,0.737,1.174,203,425,6,6,0,12,37
SosaSa,2002,33,CHC,NL,150,666,556,122,160,19,2,49,108,2,0,103,144,0.288,0.399,0.594,0.993,160,330,14,3,0,4,15
SosaSa,2003,34,CHC,NL,137,589,517,99,144,22,0,40,103,0,1,62,143,0.279,0.358,0.553,0.911,133,286,14,5,0,5,9
SosaSa,2004,35,CHC,NL,126,539,478,69,121,21,0,35,80,0,0,56,133,0.253,0.332,0.517,0.849,114,247,9,2,0,3,4
SosaSa,2005,36,BAL,AL,102,424,380,39,84,15,1,14,45,1,1,39,84,0.221,0.295,0.376,0.671,78,143,15,2,0,3,3
SosaSa,2007,38,TEX,AL,114,454,412,53,104,24,1,21,92,0,0,34,112,0.252,0.311,0.468,0.779,101,193,11,3,0,5,3
BondsBa,1986,21,PIT,NL,113,484,413,72,92,26,3,16,48,36,7,65,102,0.223,0.33,0.416,0.746,103,172,4,2,2,2,2
BondsBa,1987,22,PIT,NL,150,611,551,99,144,34,9,25,59,32,10,54,88,0.261,0.329,0.492,0.821,114,271,4,3,0,3,3
BondsBa,1988,23,PIT,NL,144,614,538,97,152,30,5,24,58,17,11,72,82,0.283,0.368,0.491,0.859,148,264,3,2,0,2,14
BondsBa,1989,24,PIT,NL,159,679,580,96,144,34,6,19,58,32,10,93,93,0.248,0.351,0.426,0.777,126,247,9,1,1,4,22
BondsBa,1990,25,PIT,NL,151,621,519,104,156,32,3,33,114,52,13,93,83,0.301,0.406,0.565,0.97,170,293,8,3,0,6,15
BondsBa,1991,26,PIT,NL,153,634,510,95,149,28,5,25,116,43,13,107,73,0.292,0.41,0.514,0.924,160,262,8,4,0,13,25
BondsBa,1992,27,PIT,NL,140,612,473,109,147,36,5,34,103,39,8,127,69,0.311,0.456,0.624,1.08,204,295,9,5,0,7,32
BondsBa,1993,28,SFG,NL,159,674,539,129,181,38,4,46,123,29,12,126,79,0.336,0.458,0.677,1.136,206,365,11,2,0,7,43
BondsBa,1994,29,SFG,NL,112,474,391,89,122,18,1,37,81,29,9,74,43,0.312,0.426,0.647,1.073,183,253,3,6,0,3,18
BondsBa,1995,30,SFG,NL,144,635,506,109,149,30,7,33,104,31,10,120,83,0.294,0.431,0.577,1.009,170,292,12,5,0,4,22
BondsBa,1996,31,SFG,NL,158,675,517,122,159,27,3,42,129,40,7,151,76,0.308,0.461,0.615,1.076,188,318,11,1,0,6,30
BondsBa,1997,32,SFG,NL,159,690,532,123,155,26,5,40,101,37,8,145,87,0.291,0.446,0.585,1.031,170,311,13,8,0,5,34
BondsBa,1998,33,SFG,NL,156,697,552,120,167,44,7,37,122,28,12,130,92,0.303,0.438,0.609,1.047,178,336,15,8,1,6,29
BondsBa,1999,34,SFG,NL,102,434,355,91,93,20,2,34,83,15,2,73,62,0.262,0.389,0.617,1.006,156,219,6,3,0,3,9
BondsBa,2000,35,SFG,NL,143,607,480,129,147,28,4,49,106,11,3,117,77,0.306,0.44,0.688,1.127,188,330,6,3,0,7,22
BondsBa,2001,36,SFG,NL,153,664,476,129,156,32,2,73,137,13,3,177,93,0.328,0.515,0.863,1.379,259,411,5,9,0,2,35
