Year,Pick,Team,Player,Position,College,Games,Minutes ,Total Points,Total Rebounds,Total Assists ,Field Goal Percentage,Three Point Percentage,Free Throw Percentage,Points Per Game,Rebounds Per Game,Assists Per Game,Win Share,
2008,1,CHI,Derrick Rose,PG,University of Memphis,289,10583,6017,1103,1954,0.46,0.312,0.815,20.8,3.8,6.8,29.8,0.135
2008,2,MIA,Michael Beasley,SF,Kansas State University,409,10170,5416,2007,539,0.45,0.348,0.758,13.2,4.9,1.3,10.3,0.048
2008,3,MIN,O.J. Mayo,SG,University of Southern California,435,14132,6447,1414,1292,0.433,0.38,0.821,14.8,3.3,3,19.1,0.065
2008,4,SEA,Russell Westbrook,PG,"University of California, Los Angeles",440,14932,8834,2171,3045,0.433,0.305,0.815,20.1,4.9,6.9,42.3,0.136
2008,5,MEM,Kevin Love,PF,"University of California, Los Angeles",364,11933,6989,4453,898,0.451,0.362,0.815,19.2,12.2,2.5,47,0.189
2008,6,NYK,Danilo Gallinari,SF,NoAttempts,285,8923,4138,1327,546,0.419,0.369,0.844,14.5,4.7,1.9,23.9,0.129
2008,7,LAC,Eric Gordon,SG,Indiana University,311,10649,5430,792,1021,0.442,0.368,0.809,17.5,2.5,3.3,17.4,0.078
2008,9,CHA,D.J. Augustin,PG,University of Texas at Austin,429,10710,4354,785,1731,0.404,0.377,0.874,10.1,1.8,4,23.7,0.106
2008,10,NJN,Brook Lopez,C,Stanford University,342,11339,6168,2494,494,0.511,0,0.789,18,7.3,1.4,31.6,0.134
2008,11,IND,Jerryd Bayless,PG,University of Arizona,381,7611,3221,729,1092,0.411,0.353,0.82,8.5,1.9,2.9,13,0.082
2008,12,SAC,Jason Thompson,PF,Rider University,460,12357,4572,3216,521,0.5,0.038,0.659,9.9,7,1.1,19.8,0.077
2008,13,POR,Brandon Rush,SG,University of Kansas,329,8208,2718,1092,354,0.436,0.409,0.718,8.3,3.3,1.1,9.1,0.053
2008,14,GSW,Anthony Randolph,SF,Louisiana State University,252,3841,1789,1078,187,0.453,0.241,0.74,7.1,4.3,0.7,5.8,0.072
2008,15,PHO,Robin Lopez,C,Stanford University,406,8225,3236,1953,180,0.531,0,0.757,8,4.8,0.4,23.1,0.135
